filename, language, JavaScript, Dockerfile, Markdown, Shell Script, Ignore, JSON, YAML, Vue, HTML, XML, comment, blank, total
/Users/csparrow/Dev/team-builder/client/src/views/PageNotFound.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
/Users/csparrow/Dev/team-builder/client/vue.config.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
/Users/csparrow/Dev/team-builder/config/custom-environment-variables.json, JSON, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
/Users/csparrow/Dev/team-builder/config/default.json, JSON, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
/Users/csparrow/Dev/team-builder/config/development.json, JSON, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
/Users/csparrow/Dev/team-builder/config/production.json, JSON, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
/Users/csparrow/Dev/team-builder/deploy-application.sh, Shell Script, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 10, 56, 207
/Users/csparrow/Dev/team-builder/docker-compose-dev.yml, YAML, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
/Users/csparrow/Dev/team-builder/docker-compose.yml, YAML, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
/Users/csparrow/Dev/team-builder/manifest.json, JSON, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
/Users/csparrow/Dev/team-builder/middleware/admin.js, JavaScript, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
/Users/csparrow/Dev/team-builder/middleware/auth.js, JavaScript, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 28
/Users/csparrow/Dev/team-builder/middleware/error.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
/Users/csparrow/Dev/team-builder/middleware/logger.js, JavaScript, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
/Users/csparrow/Dev/team-builder/middleware/requestLogger.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
/Users/csparrow/Dev/team-builder/middleware/validateObjectId.js, JavaScript, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
/Users/csparrow/Dev/team-builder/models/Cart.js, JavaScript, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 113
/Users/csparrow/Dev/team-builder/models/Catalog.js, JavaScript, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
/Users/csparrow/Dev/team-builder/models/CatalogItem.js, JavaScript, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 213
/Users/csparrow/Dev/team-builder/models/Coupon.js, JavaScript, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 207
/Users/csparrow/Dev/team-builder/models/Email.js, JavaScript, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
/Users/csparrow/Dev/team-builder/models/Member.js, JavaScript, 654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 674
/Users/csparrow/Dev/team-builder/models/Order.js, JavaScript, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 203
/Users/csparrow/Dev/team-builder/models/Store.js, JavaScript, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 210
/Users/csparrow/Dev/team-builder/models/StoreItem.js, JavaScript, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 184
/Users/csparrow/Dev/team-builder/models/Team.js, JavaScript, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 251
/Users/csparrow/Dev/team-builder/package-lock.json, JSON, 0, 0, 0, 0, 0, 5504, 0, 0, 0, 0, 0, 1, 5505
/Users/csparrow/Dev/team-builder/package.json, JSON, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 34, 0, 59
/Users/csparrow/Dev/team-builder/routes/auth.js, JavaScript, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 263
/Users/csparrow/Dev/team-builder/routes/catalogitems.js, JavaScript, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 35, 222
/Users/csparrow/Dev/team-builder/routes/catalogs.js, JavaScript, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 114
/Users/csparrow/Dev/team-builder/routes/coupons.js, JavaScript, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 49, 291
/Users/csparrow/Dev/team-builder/routes/emails.js, JavaScript, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41, 183
/Users/csparrow/Dev/team-builder/routes/members.js, JavaScript, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 73, 510
/Users/csparrow/Dev/team-builder/routes/notifications.js, JavaScript, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 70
/Users/csparrow/Dev/team-builder/routes/orders.js, JavaScript, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 30, 160
/Users/csparrow/Dev/team-builder/routes/storeitems.js, JavaScript, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 187
/Users/csparrow/Dev/team-builder/routes/stores.js, JavaScript, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 52, 375
/Users/csparrow/Dev/team-builder/routes/teams.js, JavaScript, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 63, 391
/Users/csparrow/Dev/team-builder/server.js, JavaScript, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 127
/Users/csparrow/Dev/team-builder/startup/db.js, JavaScript, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 54
/Users/csparrow/Dev/team-builder/startup/routes.js, JavaScript, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 20
/Users/csparrow/Dev/team-builder/utils/geocoder.js, JavaScript, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
Total, -, 5687, 9, 25, 141, 3, 18573, 107, 10666, 46, 543, 378, 1060, 37238
